day,platform,format,topic,hook,cta
1,Instagram Reel,Video,What is EV,"Stop looking for winners. Start looking for edges.","Try free picks"
1,TikTok,Video,Price vs Pick,"Most bettors lose because they chase picks.","Open app"
2,X,Thread,CLV education,"CLV is the scoreboard sharp bettors trust.","Read thread + sign up"
2,Instagram Story,Story,Feature spotlight,"Book-by-book odds in one screen.","Launch app"
3,TikTok,Video,Tomorrow slate,"No picks now? Prep tomorrow instead.","Check tomorrow games"
3,X,Post,Public fade,"Public heavy side doesn't mean value side.","View fades tab"
4,Instagram Reel,Video,Premium value,"Free is good. Premium is for consistency.","Upgrade Premium"
4,Instagram Story,Story,Social proof,"Built for process, not promises.","Try free"
5,TikTok,Video,VIP speed,"If you're late, edge is gone.","Go VIP"
5,X,Post,Feature clip,"Steam and market pressure in real time.","Open app"
6,Instagram Reel,Video,Parlay builder,"Your parlay isn't bad. Your pricing is.","Try parlay builder"
6,TikTok,Video,Bankroll discipline,"Discipline scales. Guessing doesn't.","Set bankroll mode"
7,X,Thread,Weekly recap,"What moved this week and why.","Join newsletter"
8,Instagram Reel,Video,How to use free tier,"2 free scans daily. No card.","Start free"
8,TikTok,Video,Behind the model,"5-agent agreement before picks.","See today's edges"
9,X,Post,Comparison,"If your app doesn't show prices by book, you're blind.","Open app"
9,Instagram Story,Story,FAQ,"No guarantees. Data-first betting.","Learn more"
10,TikTok,Video,Premium vs VIP,"Which plan matches your betting volume?","Choose plan"
10,X,Post,Conversion,"From free to premium workflow.","Upgrade"
11,Instagram Reel,Video,Community trust,"Share picks with verified format.","Join community"
11,TikTok,Video,Loss framing,"Avoid forcing bets when board is thin.","Use tomorrow slate"
12,X,Thread,Educational,"How to read line movement quickly.","Follow + open app"
12,Instagram Story,Story,Offer,"Last chance this week to lock Premium.","Upgrade now"
13,TikTok,Video,Case study,"One line move changed the EV.","Try scan now"
13,X,Post,Reminder,"Edge dies fast. Timing matters.","Open app"
14,Instagram Reel,Video,Weekly close,"Process over outcomes. Always.","Start free today"
14,X,Post,CTA wrap,"Free, Premium, VIP — pick your lane.","Launch app"
