Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
celestial-heirloom-layer-set,Celestial Heirloom Layer Set,"<p>Three-piece heirloom-inspired necklace stack with artisan detailing and premium finish.</p>",Sol & Sage Atelier,Jewelry & Watches > Jewelry > Jewelry Sets,Jewelry Set,"premium,boho,luxury,set,bestseller",TRUE,Color,Gold,SSA-P001,68,shopify,40,deny,manual,149,229,TRUE,TRUE,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338,1,active
santorini-coin-collar,Santorini Coin Collar,"<p>Bold collar necklace with vintage coin motifs and rich texture for statement styling.</p>",Sol & Sage Atelier,Jewelry & Watches > Jewelry > Necklaces,Necklace,"premium,statement,necklace",TRUE,Color,Gold,SSA-P002,74,shopify,35,deny,manual,119,179,TRUE,TRUE,https://images.unsplash.com/photo-1617038220319-276d3cfab638,1,active
desert-luxe-charm-suite,Desert Luxe Charm Suite,"<p>Layered charm necklace suite designed for elevated boho looks and gifting moments.</p>",Sol & Sage Atelier,Jewelry & Watches > Jewelry > Necklaces,Necklace,"premium,charm,layered",TRUE,Color,Gold,SSA-P003,62,shopify,45,deny,manual,98,149,TRUE,TRUE,https://images.unsplash.com/photo-1603974372039-adc49044b6bd,1,active
aurora-goddess-hoops,Aurora Goddess Hoops,"<p>Large sculpted hoops with polished premium plating and lightweight comfort.</p>",Sol & Sage Atelier,Jewelry & Watches > Jewelry > Earrings,Earrings,"premium,hoops,statement",TRUE,Color,Gold,SSA-P004,42,shopify,50,deny,manual,79,119,TRUE,TRUE,https://images.unsplash.com/photo-1630019852942-f89202989a59,1,active
marbella-drop-heirloom,Marbella Drop Heirloom Earrings,"<p>Hand-finished inspired drops with soft movement and occasion-ready silhouette.</p>",Sol & Sage Atelier,Jewelry & Watches > Jewelry > Earrings,Earrings,"premium,drop,occasion",TRUE,Color,Gold,SSA-P005,46,shopify,30,deny,manual,89,135,TRUE,TRUE,https://images.unsplash.com/photo-1629224316810-9d8805b95e76,1,active
opal-oracle-ring-stack,Opal Oracle Ring Stack (7-Pack),"<p>Seven-piece luxury-look stacking ring collection with opal accents and mixed textures.</p>",Sol & Sage Atelier,Jewelry & Watches > Jewelry > Rings,Rings,"premium,ring-stack,opal",TRUE,Size,Adjustable,SSA-P006,48,shopify,45,deny,manual,84,129,TRUE,TRUE,https://images.unsplash.com/photo-1605100804763-247f67b3557e,1,active
sun-kissed-anklet-duo,Sun-Kissed Anklet Duo,"<p>Premium pair of layered anklets designed for resort and summer editorial styling.</p>",Sol & Sage Atelier,Jewelry & Watches > Jewelry > Bracelets & Anklets,Anklet,"premium,anklet,resort",TRUE,Color,Gold,SSA-P007,32,shopify,40,deny,manual,69,104,TRUE,TRUE,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,1,active
wildflower-luxe-bracelet,Wildflower Luxe Bracelet,"<p>Heavy-link charm bracelet with artisan-inspired floral motifs and premium clasp.</p>",Sol & Sage Atelier,Jewelry & Watches > Jewelry > Bracelets & Anklets,Bracelet,"premium,bracelet,charm",TRUE,Color,Gold,SSA-P008,44,shopify,38,deny,manual,92,139,TRUE,TRUE,https://images.unsplash.com/photo-1611085583191-a3b181a88401,1,active
initial-heirloom-pendant,Initial Heirloom Pendant,"<p>Personalized-look initial pendant with thicker chain and gift-grade presentation.</p>",Sol & Sage Atelier,Jewelry & Watches > Jewelry > Necklaces,Necklace,"premium,initial,gift",TRUE,Letter,A,SSA-P009-A,41,shopify,28,deny,manual,88,132,TRUE,TRUE,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f,1,active
opal-nocturne-set,Opal Nocturne Set,"<p>Necklace, earrings, and ring set with luminous opal-look stones for formal and gift use.</p>",Sol & Sage Atelier,Jewelry & Watches > Jewelry > Jewelry Sets,Jewelry Set,"premium,set,opal,occasion",TRUE,Color,Gold,SSA-P010,84,shopify,25,deny,manual,189,279,TRUE,TRUE,https://images.unsplash.com/photo-1588444837495-c6cfeb53f32d,1,active
festival-muse-headchain,Festival Muse Headchain,"<p>Editorial boho headchain with celestial motifs and adjustable fit.</p>",Sol & Sage Atelier,Apparel & Accessories > Clothing Accessories > Hair Accessories,Hair Accessory,"premium,festival,headchain",TRUE,Color,Gold,SSA-P011,38,shopify,32,deny,manual,74,112,TRUE,TRUE,https://images.unsplash.com/photo-1617038220319-276d3cfab638,1,active
atelier-signature-gift-box,Atelier Signature Gift Box,"<p>Curated 4-piece gift box featuring a necklace, hoops, bracelet, and ring stack.</p>",Sol & Sage Atelier,Jewelry & Watches > Jewelry > Jewelry Sets,Gift Set,"premium,gift-box,bundle",TRUE,Color,Gold,SSA-P012,120,shopify,18,deny,manual,219,329,TRUE,TRUE,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338,1,active
