Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
sunstone-layered-necklace,Sunstone Layered Necklace,"<p>Three-layer boho necklace stack with warm gold tone and sunstone-inspired charm. Lightweight enough for everyday wear.</p>",Sol & Sage Jewelry,Jewelry & Watches > Jewelry > Necklaces,Necklace,"boho,layered,necklace,bestseller",TRUE,Color,Gold,SS-N001,35,shopify,120,deny,manual,39,59,TRUE,TRUE,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338,1,active
luna-coin-medallion,Luna Coin Medallion Necklace,"<p>Vintage coin medallion pendant on adjustable chain. Designed for easy layering and elevated basics.</p>",Sol & Sage Jewelry,Jewelry & Watches > Jewelry > Necklaces,Necklace,"boho,coin,medallion",TRUE,Color,Gold,SS-N002,30,shopify,110,deny,manual,34,52,TRUE,TRUE,https://images.unsplash.com/photo-1617038220319-276d3cfab638,1,active
desert-charm-chain,Desert Charm Chain,"<p>Minimal chain with cactus, moon, and star charms. Festival-friendly style with daily wear comfort.</p>",Sol & Sage Jewelry,Jewelry & Watches > Jewelry > Necklaces,Necklace,"boho,charm,festival",TRUE,Color,Gold,SS-N003,28,shopify,100,deny,manual,36,54,TRUE,TRUE,https://images.unsplash.com/photo-1603974372039-adc49044b6bd,1,active
mira-ear-cuff-set,Mira Ear Cuff Set (3-Pack),"<p>No-piercing ear cuff trio in mixed textures. Stack all three or wear solo for a clean boho accent.</p>",Sol & Sage Jewelry,Jewelry & Watches > Jewelry > Earrings,Earrings,"boho,ear-cuff,set",TRUE,Color,Gold,SS-E001,14,shopify,140,deny,manual,24,38,TRUE,TRUE,https://images.unsplash.com/photo-1635767798638-3e25273a8236,1,active
rio-chunky-hoops,Rio Chunky Hoops,"<p>Bold but lightweight hoops with polished finish. Fast outfit upgrade from basics to statement.</p>",Sol & Sage Jewelry,Jewelry & Watches > Jewelry > Earrings,Earrings,"boho,hoops,statement",TRUE,Color,Gold,SS-E002,22,shopify,130,deny,manual,29,45,TRUE,TRUE,https://images.unsplash.com/photo-1630019852942-f89202989a59,1,active
sahara-drop-earrings,Sahara Drop Earrings,"<p>Geometric drop earrings with earthy boho silhouette. Made to pair with layered necklaces.</p>",Sol & Sage Jewelry,Jewelry & Watches > Jewelry > Earrings,Earrings,"boho,drop,earrings",TRUE,Color,Gold,SS-E003,20,shopify,90,deny,manual,32,49,TRUE,TRUE,https://images.unsplash.com/photo-1629224316810-9d8805b95e76,1,active
solstice-ring-stack,Solstice Ring Stack (5-Pack),"<p>Five mixed-texture rings to stack your way. Adjustable fit and gift-ready packaging.</p>",Sol & Sage Jewelry,Jewelry & Watches > Jewelry > Rings,Rings,"boho,ring-stack,gift",TRUE,Size,Adjustable,SS-R001,18,shopify,160,deny,manual,27,42,TRUE,TRUE,https://images.unsplash.com/photo-1605100804763-247f67b3557e,1,active
moondust-anklet,Moondust Anklet,"<p>Dainty chain anklet with moon charm. Vacation and summer bestseller profile.</p>",Sol & Sage Jewelry,Jewelry & Watches > Jewelry > Bracelets & Anklets,Anklet,"boho,anklet,summer",TRUE,Color,Gold,SS-A001,12,shopify,150,deny,manual,22,35,TRUE,TRUE,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,1,active
wildflower-charm-bracelet,Wildflower Charm Bracelet,"<p>Charm bracelet with floral details and adjustable clasp. Layer with bangles or wear alone.</p>",Sol & Sage Jewelry,Jewelry & Watches > Jewelry > Bracelets & Anklets,Bracelet,"boho,charm,bracelet",TRUE,Color,Gold,SS-B001,16,shopify,125,deny,manual,31,48,TRUE,TRUE,https://images.unsplash.com/photo-1611085583191-a3b181a88401,1,active
aurora-initial-necklace,Aurora Initial Necklace,"<p>Personalized-style initial pendant with delicate chain. High gift conversion and repeat buyer appeal.</p>",Sol & Sage Jewelry,Jewelry & Watches > Jewelry > Necklaces,Necklace,"boho,initial,personalized,gift",TRUE,Letter,A,SS-N004-A,25,shopify,95,deny,manual,33,50,TRUE,TRUE,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f,1,active
opal-dream-jewelry-set,Opal Dream Jewelry Set,"<p>Necklace and earring set with opal-look stones. Giftable SKU optimized for higher AOV.</p>",Sol & Sage Jewelry,Jewelry & Watches > Jewelry > Jewelry Sets,Jewelry Set,"boho,set,opal,gift",TRUE,Color,Gold,SS-S001,42,shopify,85,deny,manual,49,75,TRUE,TRUE,https://images.unsplash.com/photo-1588444837495-c6cfeb53f32d,1,active
festival-star-hair-chain,Festival Star Hair Chain,"<p>Hair chain accessory with star charms for festival and vacation looks. Highly visual social content piece.</p>",Sol & Sage Jewelry,Apparel & Accessories > Clothing Accessories > Hair Accessories,Hair Accessory,"boho,hair-chain,festival",TRUE,Color,Gold,SS-H001,26,shopify,70,deny,manual,28,44,TRUE,TRUE,https://images.unsplash.com/photo-1617038220319-276d3cfab638,1,active
